
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
9.99999978e-003, 0.00000000e+000, 5.00000007e-002, 1.71953630e+000
9.99999978e-003, -1.20120123e-003, 5.00000007e-002, 1.74970913e+000
9.99999978e-003, -2.40240246e-003, 5.00000007e-002, 1.76331544e+000
9.99999978e-003, -3.60360369e-003, 5.00000007e-002, 1.76350987e+000
9.99999978e-003, -4.80480492e-003, 5.00000007e-002, 1.76380432e+000
9.99999978e-003, -6.00600615e-003, 5.00000007e-002, 1.76419878e+000
9.99999978e-003, -7.20720738e-003, 5.00000007e-002, 1.76469314e+000
9.99999978e-003, -8.40840861e-003, 5.00000007e-002, 1.76528692e+000
9.99999978e-003, -9.60960984e-003, 5.00000007e-002, 1.76598048e+000
9.99999978e-003, -1.08108111e-002, 5.00000007e-002, 1.76677358e+000
9.99999978e-003, -1.20120123e-002, 5.00000007e-002, 1.76570666e+000
9.99999978e-003, -1.32132135e-002, 5.00000007e-002, 1.75582397e+000
9.99999978e-003, -1.44144148e-002, 5.00000007e-002, 1.74609244e+000
9.99999978e-003, -1.56156160e-002, 5.00000007e-002, 1.73651433e+000
9.99999978e-003, -1.68168172e-002, 5.00000007e-002, 1.72709179e+000
9.99999978e-003, -1.80180185e-002, 5.00000007e-002, 1.71782804e+000
9.99999978e-003, -1.92192197e-002, 5.00000007e-002, 1.70872533e+000
9.99999978e-003, -2.04204209e-002, 5.00000007e-002, 1.69978654e+000
9.99999978e-003, -2.16216221e-002, 5.00000007e-002, 1.69101417e+000
9.99999978e-003, -2.28228234e-002, 5.00000007e-002, 1.68511724e+000
9.99999978e-003, -2.40240246e-002, 5.00000007e-002, 1.67993724e+000
9.99999978e-003, -2.52252258e-002, 5.00000007e-002, 1.67481279e+000
9.99999978e-003, -2.64264271e-002, 5.00000007e-002, 1.66974449e+000
9.99999978e-003, -2.76276283e-002, 5.00000007e-002, 1.66473234e+000
9.99999978e-003, -2.88288295e-002, 5.00000007e-002, 1.65977740e+000
9.99999978e-003, -3.00300308e-002, 5.00000007e-002, 1.65487993e+000
9.99999978e-003, -3.12312320e-002, 5.00000007e-002, 1.65004015e+000
9.99999978e-003, -3.24324332e-002, 5.00000007e-002, 1.64612865e+000
9.99999978e-003, -3.36336344e-002, 5.00000007e-002, 1.64338827e+000
9.99999978e-003, -3.48348357e-002, 5.00000007e-002, 1.64067364e+000
9.99999978e-003, -3.60360369e-002, 5.00000007e-002, 1.63798487e+000
9.99999978e-003, -3.72372381e-002, 5.00000007e-002, 1.63532197e+000
9.99999978e-003, -3.84384394e-002, 5.00000007e-002, 1.63268542e+000
9.99999978e-003, -3.96396406e-002, 5.00000007e-002, 1.63007462e+000
9.99999978e-003, -4.08408418e-002, 5.00000007e-002, 1.62749028e+000
9.99999978e-003, -4.20420431e-002, 5.00000007e-002, 1.62454832e+000
9.99999978e-003, -4.32432443e-002, 5.00000007e-002, 1.61575150e+000
9.99999978e-003, -4.44444455e-002, 5.00000007e-002, 1.60696769e+000
9.99999978e-003, -4.56456468e-002, 5.00000007e-002, 1.59819627e+000
9.99999978e-003, -4.68468480e-002, 5.00000007e-002, 1.58943808e+000
9.99999978e-003, -4.80480492e-002, 5.00000007e-002, 1.58069301e+000
9.99999978e-003, -4.92492504e-002, 5.00000007e-002, 1.57196176e+000
9.99999978e-003, -5.04504517e-002, 5.00000007e-002, 1.56324399e+000
9.99999978e-003, -5.16516529e-002, 5.00000007e-002, 1.55454028e+000
9.99999978e-003, -5.28528541e-002, 5.00000007e-002, 1.53955507e+000
9.99999978e-003, -5.40540554e-002, 5.00000007e-002, 1.52174914e+000
9.99999978e-003, -5.52552566e-002, 5.00000007e-002, 1.50396883e+000
9.99999978e-003, -5.64564578e-002, 5.00000007e-002, 1.48621547e+000
9.99999978e-003, -5.76576591e-002, 5.00000007e-002, 1.46848977e+000
9.99999978e-003, -5.88588603e-002, 5.00000007e-002, 1.45079303e+000
9.99999978e-003, -6.00600615e-002, 5.00000007e-002, 1.43312609e+000
9.99999978e-003, -6.12612627e-002, 5.00000007e-002, 1.41549039e+000
9.99999978e-003, -6.24624640e-002, 5.00000007e-002, 1.39619827e+000
9.99999978e-003, -6.36636615e-002, 5.00000007e-002, 1.37327754e+000
9.99999978e-003, -6.48648590e-002, 5.00000007e-002, 1.35036111e+000
9.99999978e-003, -6.60660565e-002, 5.00000007e-002, 1.32744968e+000
9.99999978e-003, -6.72672540e-002, 5.00000007e-002, 1.30454338e+000
9.99999978e-003, -6.84684515e-002, 5.00000007e-002, 1.28164244e+000
9.99999978e-003, -6.96696490e-002, 5.00000007e-002, 1.25874710e+000
9.99999978e-003, -7.08708465e-002, 5.00000007e-002, 1.23585784e+000
9.99999978e-003, -7.20720440e-002, 5.00000007e-002, 1.21297479e+000
9.99999978e-003, -7.32732415e-002, 5.00000007e-002, 1.19336867e+000
9.99999978e-003, -7.44744390e-002, 5.00000007e-002, 1.17399108e+000
9.99999978e-003, -7.56756365e-002, 5.00000007e-002, 1.15463912e+000
9.99999978e-003, -7.68768340e-002, 5.00000007e-002, 1.13531351e+000
9.99999978e-003, -7.80780315e-002, 5.00000007e-002, 1.11601639e+000
9.99999978e-003, -7.92792290e-002, 5.00000007e-002, 1.09674883e+000
9.99999978e-003, -8.04804265e-002, 5.00000007e-002, 1.07751238e+000
9.99999978e-003, -8.16816241e-002, 5.00000007e-002, 1.05830884e+000
9.99999978e-003, -8.28828216e-002, 5.00000007e-002, 1.04374170e+000
9.99999978e-003, -8.40840191e-002, 5.00000007e-002, 1.03275657e+000
9.99999978e-003, -8.52852166e-002, 5.00000007e-002, 1.02189529e+000
9.99999978e-003, -8.64864141e-002, 5.00000007e-002, 1.01116168e+000
9.99999978e-003, -8.76876116e-002, 5.00000007e-002, 1.00055981e+000
9.99999978e-003, -8.88888091e-002, 5.00000007e-002, 9.90094185e-001
9.99999978e-003, -9.00900066e-002, 5.00000007e-002, 9.79768872e-001
9.99999978e-003, -9.12912041e-002, 5.00000007e-002, 9.69588697e-001
9.99999978e-003, -9.24924016e-002, 5.00000007e-002, 9.58808661e-001
9.99999978e-003, -9.36935991e-002, 5.00000007e-002, 9.45278823e-001
9.99999978e-003, -9.48947966e-002, 5.00000007e-002, 9.32133138e-001
9.99999978e-003, -9.60959941e-002, 5.00000007e-002, 9.19388175e-001
9.99999978e-003, -9.72971916e-002, 5.00000007e-002, 9.07060742e-001
9.99999978e-003, -9.84983891e-002, 5.00000007e-002, 8.95168245e-001
9.99999978e-003, -9.96995866e-002, 5.00000007e-002, 8.83728147e-001
9.99999978e-003, -1.00900784e-001, 5.00000007e-002, 8.72758090e-001
9.99999978e-003, -1.02101982e-001, 5.00000007e-002, 8.62276375e-001
9.99999978e-003, -1.03303179e-001, 5.00000007e-002, 8.43624771e-001
9.99999978e-003, -1.04504377e-001, 5.00000007e-002, 8.23993802e-001
9.99999978e-003, -1.05705574e-001, 5.00000007e-002, 8.05323362e-001
9.99999978e-003, -1.06906772e-001, 5.00000007e-002, 7.87681520e-001
9.99999978e-003, -1.08107969e-001, 5.00000007e-002, 7.71139026e-001
9.99999978e-003, -1.09309167e-001, 5.00000007e-002, 7.55768001e-001
9.99999978e-003, -1.10510364e-001, 5.00000007e-002, 7.41641462e-001
9.99999978e-003, -1.11711562e-001, 5.00000007e-002, 7.28831470e-001
9.99999978e-003, -1.12912759e-001, 5.00000007e-002, 7.15358377e-001
9.99999978e-003, -1.14113957e-001, 5.00000007e-002, 7.00667202e-001
9.99999978e-003, -1.15315154e-001, 5.00000007e-002, 6.87243104e-001
9.99999978e-003, -1.16516352e-001, 5.00000007e-002, 6.75161839e-001
9.99999978e-003, -1.17717549e-001, 5.00000007e-002, 6.64496601e-001
9.99999978e-003, -1.18918747e-001, 5.00000007e-002, 6.55316532e-001
9.99999978e-003, -1.20119944e-001, 5.00000007e-002, 6.47684753e-001
9.99999978e-003, -1.21321142e-001, 5.00000007e-002, 6.41656458e-001
9.99999978e-003, -1.22522339e-001, 5.00000007e-002, 6.36906981e-001
9.99999978e-003, -1.23723537e-001, 5.00000007e-002, 6.28666759e-001
9.99999978e-003, -1.24924734e-001, 5.00000007e-002, 6.20533049e-001
9.99999978e-003, -1.26125932e-001, 5.00000007e-002, 6.12509787e-001
9.99999978e-003, -1.27327129e-001, 5.00000007e-002, 6.04601502e-001
9.99999978e-003, -1.28528327e-001, 5.00000007e-002, 5.96812844e-001
9.99999978e-003, -1.29729524e-001, 5.00000007e-002, 5.89148521e-001
9.99999978e-003, -1.30930722e-001, 5.00000007e-002, 5.81613243e-001
9.99999978e-003, -1.32131919e-001, 5.00000007e-002, 5.74212313e-001
