
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
1.99999996e-002, 0.00000000e+000, 3.99999991e-002, 1.32924640e+000
1.99999996e-002, -1.20120123e-003, 3.99999991e-002, 1.33541727e+000
1.99999996e-002, -2.40240246e-003, 3.99999991e-002, 1.33407104e+000
1.99999996e-002, -3.60360369e-003, 3.99999991e-002, 1.33134222e+000
1.99999996e-002, -4.80480492e-003, 3.99999991e-002, 1.32866335e+000
1.99999996e-002, -6.00600615e-003, 3.99999991e-002, 1.32603478e+000
1.99999996e-002, -7.20720738e-003, 3.99999991e-002, 1.32345724e+000
1.99999996e-002, -8.40840861e-003, 3.99999991e-002, 1.32093060e+000
1.99999996e-002, -9.60960984e-003, 3.99999991e-002, 1.31845510e+000
1.99999996e-002, -1.08108111e-002, 3.99999991e-002, 1.31603134e+000
1.99999996e-002, -1.20120123e-002, 3.99999991e-002, 1.30940366e+000
1.99999996e-002, -1.32132135e-002, 3.99999991e-002, 1.29792714e+000
1.99999996e-002, -1.44144148e-002, 3.99999991e-002, 1.28650117e+000
1.99999996e-002, -1.56156160e-002, 3.99999991e-002, 1.27512705e+000
1.99999996e-002, -1.68168172e-002, 3.99999991e-002, 1.26380658e+000
1.99999996e-002, -1.80180185e-002, 3.99999991e-002, 1.25254047e+000
1.99999996e-002, -1.92192197e-002, 3.99999991e-002, 1.24133074e+000
1.99999996e-002, -2.04204209e-002, 3.99999991e-002, 1.23017883e+000
1.99999996e-002, -2.16216221e-002, 3.99999991e-002, 1.21958292e+000
1.99999996e-002, -2.28228234e-002, 3.99999991e-002, 1.21427560e+000
1.99999996e-002, -2.40240246e-002, 3.99999991e-002, 1.20923138e+000
1.99999996e-002, -2.52252258e-002, 3.99999991e-002, 1.20445347e+000
1.99999996e-002, -2.64264271e-002, 3.99999991e-002, 1.19994533e+000
1.99999996e-002, -2.76276283e-002, 3.99999991e-002, 1.19570971e+000
1.99999996e-002, -2.88288295e-002, 3.99999991e-002, 1.19174957e+000
1.99999996e-002, -3.00300308e-002, 3.99999991e-002, 1.18806791e+000
1.99999996e-002, -3.12312320e-002, 3.99999991e-002, 1.18466711e+000
1.99999996e-002, -3.24324332e-002, 3.99999991e-002, 1.19038618e+000
1.99999996e-002, -3.36336344e-002, 3.99999991e-002, 1.19979930e+000
1.99999996e-002, -3.48348357e-002, 3.99999991e-002, 1.20927346e+000
1.99999996e-002, -3.60360369e-002, 3.99999991e-002, 1.21880794e+000
1.99999996e-002, -3.72372381e-002, 3.99999991e-002, 1.22840059e+000
1.99999996e-002, -3.84384394e-002, 3.99999991e-002, 1.23805046e+000
1.99999996e-002, -3.96396406e-002, 3.99999991e-002, 1.24775612e+000
1.99999996e-002, -4.08408418e-002, 3.99999991e-002, 1.25751638e+000
1.99999996e-002, -4.20420431e-002, 3.99999991e-002, 1.27031791e+000
1.99999996e-002, -4.32432443e-002, 3.99999991e-002, 1.28917110e+000
1.99999996e-002, -4.44444455e-002, 3.99999991e-002, 1.30808926e+000
1.99999996e-002, -4.56456468e-002, 3.99999991e-002, 1.32706916e+000
1.99999996e-002, -4.68468480e-002, 3.99999991e-002, 1.34610879e+000
1.99999996e-002, -4.80480492e-002, 3.99999991e-002, 1.36520505e+000
1.99999996e-002, -4.92492504e-002, 3.99999991e-002, 1.38435602e+000
1.99999996e-002, -5.04504517e-002, 3.99999991e-002, 1.40355921e+000
1.99999996e-002, -5.16516529e-002, 3.99999991e-002, 1.42281282e+000
1.99999996e-002, -5.28528541e-002, 3.99999991e-002, 1.43848872e+000
1.99999996e-002, -5.40540554e-002, 3.99999991e-002, 1.45407224e+000
1.99999996e-002, -5.52552566e-002, 3.99999991e-002, 1.46972096e+000
1.99999996e-002, -5.64564578e-002, 3.99999991e-002, 1.48543334e+000
1.99999996e-002, -5.76576591e-002, 3.99999991e-002, 1.50120676e+000
1.99999996e-002, -5.88588603e-002, 3.99999991e-002, 1.51704001e+000
1.99999996e-002, -6.00600615e-002, 3.99999991e-002, 1.53293037e+000
1.99999996e-002, -6.12612627e-002, 3.99999991e-002, 1.54887712e+000
1.99999996e-002, -6.24624640e-002, 3.99999991e-002, 1.55750835e+000
1.99999996e-002, -6.36636615e-002, 3.99999991e-002, 1.56082547e+000
1.99999996e-002, -6.48648590e-002, 3.99999991e-002, 1.56417835e+000
1.99999996e-002, -6.60660565e-002, 3.99999991e-002, 1.56756711e+000
1.99999996e-002, -6.72672540e-002, 3.99999991e-002, 1.57099080e+000
1.99999996e-002, -6.84684515e-002, 3.99999991e-002, 1.57444978e+000
1.99999996e-002, -6.96696490e-002, 3.99999991e-002, 1.57794356e+000
1.99999996e-002, -7.08708465e-002, 3.99999991e-002, 1.58147216e+000
1.99999996e-002, -7.20720440e-002, 3.99999991e-002, 1.58367181e+000
1.99999996e-002, -7.32732415e-002, 3.99999991e-002, 1.58062458e+000
1.99999996e-002, -7.44744390e-002, 3.99999991e-002, 1.57780194e+000
1.99999996e-002, -7.56756365e-002, 3.99999991e-002, 1.57520533e+000
1.99999996e-002, -7.68768340e-002, 3.99999991e-002, 1.57283556e+000
1.99999996e-002, -7.80780315e-002, 3.99999991e-002, 1.57069385e+000
1.99999996e-002, -7.92792290e-002, 3.99999991e-002, 1.56878138e+000
1.99999996e-002, -8.04804265e-002, 3.99999991e-002, 1.56709814e+000
1.99999996e-002, -8.16816241e-002, 3.99999991e-002, 1.56564593e+000
1.99999996e-002, -8.28828216e-002, 3.99999991e-002, 1.55917597e+000
1.99999996e-002, -8.40840191e-002, 3.99999991e-002, 1.55168486e+000
1.99999996e-002, -8.52852166e-002, 3.99999991e-002, 1.54428041e+000
1.99999996e-002, -8.64864141e-002, 3.99999991e-002, 1.53696442e+000
1.99999996e-002, -8.76876116e-002, 3.99999991e-002, 1.52973807e+000
1.99999996e-002, -8.88888091e-002, 3.99999991e-002, 1.52260220e+000
1.99999996e-002, -9.00900066e-002, 3.99999991e-002, 1.51555848e+000
1.99999996e-002, -9.12912041e-002, 3.99999991e-002, 1.50860798e+000
1.99999996e-002, -9.24924016e-002, 3.99999991e-002, 1.50143147e+000
1.99999996e-002, -9.36935991e-002, 3.99999991e-002, 1.49387932e+000
1.99999996e-002, -9.48947966e-002, 3.99999991e-002, 1.48632753e+000
1.99999996e-002, -9.60959941e-002, 3.99999991e-002, 1.47877622e+000
1.99999996e-002, -9.72971916e-002, 3.99999991e-002, 1.47122514e+000
1.99999996e-002, -9.84983891e-002, 3.99999991e-002, 1.46367466e+000
1.99999996e-002, -9.96995866e-002, 3.99999991e-002, 1.45612442e+000
1.99999996e-002, -1.00900784e-001, 3.99999991e-002, 1.44857490e+000
1.99999996e-002, -1.02101982e-001, 3.99999991e-002, 1.44160640e+000
1.99999996e-002, -1.03303179e-001, 3.99999991e-002, 1.44235229e+000
1.99999996e-002, -1.04504377e-001, 3.99999991e-002, 1.44309878e+000
1.99999996e-002, -1.05705574e-001, 3.99999991e-002, 1.44384563e+000
1.99999996e-002, -1.06906772e-001, 3.99999991e-002, 1.44459295e+000
1.99999996e-002, -1.08107969e-001, 3.99999991e-002, 1.44534075e+000
1.99999996e-002, -1.09309167e-001, 3.99999991e-002, 1.44608927e+000
1.99999996e-002, -1.10510364e-001, 3.99999991e-002, 1.44683826e+000
1.99999996e-002, -1.11711562e-001, 3.99999991e-002, 1.44758761e+000
1.99999996e-002, -1.12912759e-001, 3.99999991e-002, 1.45104373e+000
1.99999996e-002, -1.14113957e-001, 3.99999991e-002, 1.45574796e+000
